timestamp,batch,run,provider,model,variant,group,seed,nonce,section_words,first_cached,warm_attempts,warmed,base_input,base_cached,status,error,input,cached,cache_write,output,reasoning
2026-09-18T21:46:19.410Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,image_in_final,messages,1684232373,575a96038c3c,1500,0,2,true,12001,11987,200,,12005,11987,0,4,
2026-09-18T21:46:20.716Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_low_to_medium,reasoning,1293327302,825f506250a0,1500,0,2,true,11781,11767,200,,11781,0,11767,4,
2026-09-18T21:46:27.259Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_low_to_high,reasoning,1159397643,5fa05d6b80a8,1500,0,2,true,12073,12059,200,,12073,0,12059,4,
2026-09-18T21:46:28.161Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_low_to_xhigh,reasoning,798579575,af1883d2436c,1500,0,2,true,11984,11970,200,,11984,0,11970,4,
2026-09-18T21:46:28.557Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_medium_to_low,reasoning,507438171,1cb33ff50182,1500,0,2,true,11964,11950,200,,11964,0,11950,4,
2026-09-18T21:46:28.591Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_low_omitted,reasoning,2047689231,ae7f269e11b8,1500,0,2,true,11827,11813,200,,11827,0,11813,4,
2026-09-18T21:46:28.768Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_low_to_max,reasoning,136802715,91be60171e30,1500,0,2,true,11977,11963,200,,11977,0,11963,4,
2026-09-18T21:46:30.656Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_medium_to_high,reasoning,1589421765,da42b44bc561,1500,0,2,true,11715,11701,200,,11715,0,11701,4,
2026-09-18T21:46:35.209Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_medium_to_xhigh,reasoning,674778224,00a65d463889,1500,0,2,true,11866,11852,200,,11866,0,11852,4,
2026-09-18T21:46:36.653Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_high_to_low,reasoning,480983825,3b79f3b77135,1500,0,2,true,11900,11886,200,,11900,0,11886,4,
2026-09-18T21:46:36.990Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_medium_to_max,reasoning,1951098475,1a066ab23e7c,1500,0,2,true,12139,12125,200,,12139,0,12125,4,
2026-09-18T21:46:37.674Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_high_to_medium,reasoning,118625930,668661d22631,1500,0,2,true,11913,11899,200,,11913,0,11899,4,
2026-09-18T21:46:39.076Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_medium_omitted,reasoning,433485309,b771c0b617b3,1500,0,2,true,12225,12211,200,,12225,0,12211,4,
2026-09-18T21:46:41.950Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_high_to_xhigh,reasoning,784460184,01503ebee893,1500,0,2,true,11762,11748,200,,11762,0,11748,4,
2026-09-18T21:46:43.867Z,2026-09-18T21:45:42.464Z,0,anthropic_breakpoints,claude-opus-5,effort_high_to_max,reasoning,605921337,460e495e3b10,1500,0,2,true,11993,11979,200,,11993,0,11979,4,
